pais,quantidade_casos
Nepal,983.0
Ethiopia,495.33334
Yemen,299.5
Libya,292.33334
Palestinian Territory,245.5
Madagascar,243.0
Costa Rica,233.0
Guatemala,232.625
Myanmar,212.66667
South Africa,187.98058
Mauritania,162.0
Argentina,144.05963
Angola,143.5
Kyrgyzstan,143.375
Paraguay,141.9
Bolivia,139.98387
Namibia,132.0
Gambia,118.0
Iraq,117.462364
Swaziland,116.0
Zambia,115.333336
Oman,113.181816
Jordan,113.125
Uganda,113.0
Suriname,110.0
Colombia,107.030716
India,105.669846
Syrian Arab Republic (Syria),97.333336
El Salvador,97.3
Cape Verde,94.0
Mozambique,93.0
Equatorial Guinea,82.0
Tajikistan,81.0
Kazakhstan,73.28
Uzbekistan,62.444443
Chile,62.004406
Central African Republic,61.0
Malawi,60.333332
Zimbabwe,60.25
Kenya,59.411766
South Sudan,58.0
Georgia,56.0
Nicaragua,51.0
Venezuela (Bolivarian Republic),49.375
Mexico,48.542767
Montenegro,44.714287
Lesotho,43.0
Armenia,42.46875
Guinea-Bissau,40.0
Benin,40.0
Bahrain,39.25
Maldives,37.0
Honduras,36.859154
Senegal,35.11111
Bangladesh,34.511906
Rwanda,34.0
Viet Nam,34.0
Tunisia,32.682926
Saudi Arabia,32.56173
Peru,31.803045
Azerbaijan,30.375
Republic of Kosovo,30.272728
Djibouti,29.5
Kuwait,29.23077
Belize,28.5
Ukraine,28.05747
Haiti,28.0
Lebanon,26.166666
Sudan,26.0
Brazil,25.682152
Russian Federation,25.341099
Jamaica,25.25
Afghanistan,23.078125
Botswana,23.0
Qatar,22.2
Morocco,21.505882
Bulgaria,19.439394
Nigeria,18.775862
Chad,18.6
Ghana,17.82353
Bosnia and Herzegovina,17.550724
Gabon,17.333334
Indonesia,16.732323
Albania,16.0
Malta,15.5
Pakistan,15.42446
Egypt,15.04847
Sao Tome and Principe,15.0
Moldova,14.672414
Czech Republic,14.483051
Panama,13.468085
Guyana,13.222222
Ecuador,13.102222
Trinidad and Tobago,12.625
Macedonia, Republic of,12.311688
Bahamas,12.272727
Philippines,11.797535
Israel,10.621622
Belarus,10.11236
Sierra Leone,9.571428
Guinea,9.428572
Congo (Brazzaville),9.222222
Romania,8.97629
Congo (Kinshasa),8.935484
Slovakia,8.521739
Poland,8.122671
Côte d'Ivoire,8.0
Croatia,7.6086955
Dominican Republic,6.475083
Cameroon,6.032787
Comoros,6.0
Papua New Guinea,6.0
Togo,5.3333335
Hungary,5.054487
Iran, Islamic Republic of,4.928666
Mali,4.230769
Latvia,4.133333
Liberia,4.125
United Arab Emirates,3.7333333
Serbia,3.6536312
Greece,3.5857143
Algeria,3.4
Slovenia,3.2637362
Lithuania,2.7777777
Japan,2.7151768
Somalia,2.7142856
Uruguay,2.5294118
Turkey,2.2772527
Liechtenstein,2.0
Brunei Darussalam,2.0
Sri Lanka,2.0
Portugal,1.6188068
Malaysia,1.4607843
Niger,1.15625
Cuba,1.1147541
Sweden,1.0267434
Fiji,1.0
Austria,0.98458904
Korea (South),0.9032258
Singapore,0.8666667
Cyprus,0.8
Andorra,0.78571427
Luxembourg,0.7777778
Finland,0.7014218
Germany,0.6109014
Belgium,0.5614959
Burkina Faso,0.55813956
Ireland,0.5560065
Spain,0.47728476
Estonia,0.40384614
Italy,0.3966103
Switzerland,0.38399538
Norway,0.34285715
New Zealand,0.31578946
Tanzania, United Republic of,0.3125
Iceland,0.2
Taiwan, Republic of China,0.16666667
Australia,0.125
Thailand,0.09259259
San Marino,0.024390243
Mauritius,0.0
Western Sahara,0.0
Burundi,0.0
Netherlands,0.0
Antigua and Barbuda,0.0
Barbados,0.0
China,-0.25
Monaco,-0.5
Canada,-0.9460581
Saint Kitts and Nevis,-1.0
Marshall Islands,-1.0
Saint Vincent and Grenadines,-1.0
Seychelles,-1.0
Solomon Islands,-1.0
Macao, SAR China,-1.0
Cambodia,-1.0
Mongolia,-1.0
Bhutan,-1.0
Dominica,-1.0
France,-1.0
Grenada,-1.0
Lao PDR,-1.0
Eritrea,-1.0
Holy See (Vatican City State),-1.0
Timor-Leste,-1.0
Denmark,-1.0
United Kingdom,-1.0
Saint Lucia,-1.0
