pais,quantidade_casos
Sweden,7.0
El Salvador,4.0
Yemen,1.0
Bolivia,0.29411766
Zimbabwe,0.13333334
Bahamas,0.0952381
Moldova,0.092307694
Kazakhstan,0.07126949
South Africa,0.06994819
Egypt,0.06878307
Honduras,0.06735751
Guyana,0.06666667
Uruguay,0.0625
Canada,0.058715597
Syrian Arab Republic (Syria),0.055555556
Mexico,0.05447781
Korea (South),0.053333335
Iran, Islamic Republic of,0.0530824
Argentina,0.050322983
Slovenia,0.044883303
Saudi Arabia,0.044619422
Chile,0.04310345
Bosnia and Herzegovina,0.041884817
Tunisia,0.041719344
Indonesia,0.03857907
Afghanistan,0.03787879
Israel,0.03751804
Macedonia, Republic of,0.037433155
Turkey,0.03301477
Ethiopia,0.03064067
Cuba,0.028571429
Albania,0.028037382
Croatia,0.027467811
Paraguay,0.025882352
Morocco,0.0253365
Czech Republic,0.024319066
Panama,0.02417962
Oman,0.023923445
Armenia,0.023450587
Algeria,0.023178808
Latvia,0.022727273
Japan,0.022540983
Azerbaijan,0.021812081
Ecuador,0.02173913
Romania,0.02128186
Brazil,0.021056347
Bulgaria,0.021013597
Myanmar,0.019966722
Hungary,0.019547611
Kenya,0.019337017
Belgium,0.019094208
France,0.01863354
Portugal,0.018355945
Jamaica,0.015873017
Angola,0.015544041
Iraq,0.014942866
Costa Rica,0.014774495
Bangladesh,0.014400922
Montenegro,0.014112903
Colombia,0.013890287
Nigeria,0.013888889
Philippines,0.013554876
Russian Federation,0.013209746
Venezuela (Bolivarian Republic),0.013157895
India,0.012790394
Pakistan,0.011996573
Republic of Kosovo,0.011750882
Kyrgyzstan,0.010989011
Italy,0.010470498
Libya,0.010440836
China,0.010309278
Uzbekistan,0.010204081
Ukraine,0.009865599
Finland,0.0091743115
Malta,0.0091743115
Uganda,0.00877193
Serbia,0.008728179
Lebanon,0.008333334
Nepal,0.008182748
Jordan,0.007997277
Mozambique,0.0070422534
Austria,0.007013301
Spain,0.0068885293
Germany,0.0061777285
Greece,0.006081668
Poland,0.0059057646
Palestinian Territory,0.005594406
Kuwait,0.0052700923
Cyprus,0.005076142
Lithuania,0.0047789724
Bahrain,0.004761905
Belarus,0.004250797
Luxembourg,0.004067107
Dominican Republic,0.0038610038
Georgia,0.0037796977
Switzerland,0.0035574203
Ireland,0.0026737968
Malaysia,0.0023980816
United Arab Emirates,8.1037276E-4
Gambia,0.0
Guinea,0.0
Saint Kitts and Nevis,0.0
Botswana,0.0
San Marino,0.0
Andorra,0.0
Marshall Islands,0.0
Saint Vincent and Grenadines,0.0
Malawi,0.0
Tanzania, United Republic of,0.0
Estonia,0.0
Madagascar,0.0
Mauritius,0.0
Cape Verde,0.0
Mali,0.0
Seychelles,0.0
Nicaragua,0.0
Solomon Islands,0.0
Equatorial Guinea,0.0
Western Sahara,0.0
Guinea-Bissau,0.0
Mauritania,0.0
Cameroon,0.0
Macao, SAR China,0.0
Cambodia,0.0
South Sudan,0.0
Monaco,0.0
Taiwan, Republic of China,0.0
Mongolia,0.0
Benin,0.0
Sudan,0.0
Chad,0.0
Liberia,0.0
Djibouti,0.0
Rwanda,0.0
Tajikistan,0.0
Fiji,0.0
Burkina Faso,0.0
Singapore,0.0
Côte d'Ivoire,0.0
Norway,0.0
Bhutan,0.0
Gabon,0.0
Dominica,0.0
Niger,0.0
Guatemala,0.0
Ghana,0.0
Somalia,0.0
Togo,0.0
Liechtenstein,0.0
Thailand,0.0
Swaziland,0.0
Viet Nam,0.0
Burundi,0.0
Slovakia,0.0
Congo (Kinshasa),0.0
Grenada,0.0
Sao Tome and Principe,0.0
Senegal,0.0
Congo (Brazzaville),0.0
Lao PDR,0.0
Eritrea,0.0
Zambia,0.0
Namibia,0.0
Comoros,0.0
Brunei Darussalam,0.0
Holy See (Vatican City State),0.0
Maldives,0.0
Timor-Leste,0.0
Lesotho,0.0
Suriname,0.0
Central African Republic,0.0
Peru,0.0
New Zealand,0.0
Trinidad and Tobago,0.0
Denmark,0.0
Sierra Leone,0.0
Sri Lanka,0.0
Belize,0.0
Haiti,0.0
Iceland,0.0
Saint Lucia,0.0
Papua New Guinea,0.0
Qatar,0.0
Antigua and Barbuda,0.0
Barbados,0.0
Australia,-0.0074626864
Netherlands,-0.12804878
United Kingdom,-2.0
