pais,quantidade_casos
Spain,55019.0
India,38310.0
Germany,25252.0
Italy,22253.0
Switzerland,21926.0
Russian Federation,18017.0
Poland,15578.0
Colombia,9935.0
Argentina,9598.0
Czech Republic,9252.0
Brazil,8501.0
Iran, Islamic Republic of,8289.0
Ukraine,6994.0
Belgium,6337.0
Jordan,5877.0
Austria,4135.0
Romania,4041.0
Mexico,3763.0
Hungary,3581.0
Iraq,3413.0
Nepal,2933.0
Indonesia,2618.0
Morocco,2526.0
Portugal,2506.0
Bulgaria,2427.0
Turkey,2302.0
Philippines,2287.0
Luxembourg,1967.0
Slovakia,1883.0
Georgia,1852.0
Bangladesh,1736.0
Costa Rica,1286.0
Chile,1276.0
United Arab Emirates,1234.0
Myanmar,1202.0
Armenia,1194.0
Pakistan,1167.0
Croatia,1165.0
Greece,1151.0
Canada,1090.0
Lebanon,1080.0
Kyrgyzstan,1001.0
Belarus,941.0
Libya,862.0
Republic of Kosovo,851.0
Lithuania,837.0
Malaysia,834.0
Serbia,802.0
Tunisia,791.0
South Africa,772.0
Bosnia and Herzegovina,764.0
Kuwait,759.0
Ireland,748.0
Kenya,724.0
Palestinian Territory,715.0
Norway,704.0
Israel,693.0
Azerbaijan,596.0
Panama,579.0
Macedonia, Republic of,561.0
Slovenia,557.0
Montenegro,496.0
Japan,488.0
Kazakhstan,449.0
Paraguay,425.0
Oman,418.0
Saudi Arabia,381.0
Venezuela (Bolivarian Republic),380.0
Ecuador,368.0
Ethiopia,359.0
Albania,321.0
Algeria,302.0
China,291.0
Sri Lanka,275.0
Dominican Republic,259.0
Uganda,228.0
Malta,218.0
Bahrain,210.0
Cyprus,197.0
Qatar,197.0
Moldova,195.0
Honduras,193.0
Angola,193.0
Egypt,189.0
Netherlands,164.0
Mozambique,142.0
Afghanistan,132.0
Latvia,132.0
Jamaica,126.0
Finland,109.0
Uzbekistan,98.0
Ghana,76.0
Korea (South),75.0
Nigeria,72.0
Andorra,63.0
Zambia,63.0
Estonia,61.0
Syrian Arab Republic (Syria),54.0
Sudan,47.0
Liechtenstein,47.0
Belize,47.0
Tajikistan,42.0
Iceland,41.0
Côte d'Ivoire,37.0
Maldives,36.0
Cuba,35.0
Cape Verde,34.0
Bolivia,34.0
Guyana,30.0
Namibia,24.0
Congo (Kinshasa),22.0
Bahamas,21.0
Guinea,18.0
Burkina Faso,17.0
Eritrea,17.0
Uruguay,16.0
Gabon,16.0
Zimbabwe,15.0
Viet Nam,12.0
Liberia,10.0
Djibouti,10.0
Thailand,10.0
Monaco,9.0
Rwanda,9.0
Mali,8.0
Lesotho,8.0
Togo,7.0
Senegal,7.0
Mauritius,5.0
Solomon Islands,5.0
Taiwan, Republic of China,5.0
New Zealand,5.0
Swaziland,4.0
United Kingdom,3.0
Bhutan,2.0
Suriname,2.0
Malawi,1.0
Equatorial Guinea,1.0
Mongolia,1.0
Chad,1.0
Singapore,1.0
Niger,1.0
Grenada,1.0
Papua New Guinea,1.0
Barbados,1.0
Gambia,0.0
Saint Kitts and Nevis,0.0
Botswana,0.0
San Marino,0.0
Marshall Islands,0.0
Saint Vincent and Grenadines,0.0
Tanzania, United Republic of,0.0
Sweden,0.0
Madagascar,0.0
Seychelles,0.0
Nicaragua,0.0
Western Sahara,0.0
Guinea-Bissau,0.0
Mauritania,0.0
Cameroon,0.0
Macao, SAR China,0.0
Cambodia,0.0
South Sudan,0.0
Benin,0.0
Fiji,0.0
Dominica,0.0
Guatemala,0.0
Somalia,0.0
Yemen,0.0
Burundi,0.0
Sao Tome and Principe,0.0
Congo (Brazzaville),0.0
Lao PDR,0.0
Comoros,0.0
Brunei Darussalam,0.0
Holy See (Vatican City State),0.0
Timor-Leste,0.0
Central African Republic,0.0
Peru,0.0
Trinidad and Tobago,0.0
Denmark,0.0
Sierra Leone,0.0
Haiti,0.0
El Salvador,0.0
Saint Lucia,0.0
Antigua and Barbuda,0.0
Australia,-402.0
France,-483.0
