pais,quantidade_casos
India,58323.0
Brazil,17100.0
Switzerland,15200.0
Czech Republic,13190.0
Argentina,12700.0
Russian Federation,10302.0
Germany,8954.0
Mexico,8840.0
Colombia,7992.0
Poland,7818.0
Peru,5415.0
Iran, Islamic Republic of,4556.0
Myanmar,3765.0
Italy,3637.0
Indonesia,3624.0
Nepal,3150.0
Iraq,2995.0
Morocco,2788.0
Ukraine,2385.0
Austria,2355.0
Croatia,2293.0
South Africa,2170.0
Bangladesh,1961.0
Georgia,1696.0
Portugal,1523.0
Turkey,1521.0
United Arab Emirates,1516.0
Costa Rica,1410.0
Romania,1386.0
Chile,1359.0
Lebanon,981.0
Ethiopia,953.0
Panama,931.0
Malaysia,900.0
Kuwait,828.0
Kyrgyzstan,758.0
Libya,755.0
Israel,696.0
Armenia,639.0
Luxembourg,636.0
Paraguay,603.0
Moldova,563.0
Nigeria,538.0
Slovenia,512.0
Bulgaria,507.0
Oman,495.0
Saudi Arabia,436.0
Pakistan,430.0
Honduras,429.0
Japan,423.0
Hungary,398.0
Palestinian Territory,396.0
Venezuela (Bolivarian Republic),391.0
Bosnia and Herzegovina,373.0
Dominican Republic,345.0
Sri Lanka,344.0
Azerbaijan,322.0
Bahrain,321.0
Angola,252.0
Kenya,248.0
Montenegro,240.0
China,233.0
Slovakia,214.0
Belarus,212.0
Qatar,212.0
Bolivia,207.0
Kazakhstan,202.0
Algeria,182.0
Republic of Kosovo,182.0
Belgium,180.0
Namibia,163.0
Macedonia, Republic of,154.0
Trinidad and Tobago,124.0
Albania,121.0
Jordan,118.0
Korea (South),115.0
Malta,111.0
Senegal,101.0
Cape Verde,98.0
Egypt,97.0
Gabon,81.0
Andorra,73.0
Bahamas,71.0
Philippines,70.0
Iceland,62.0
Uruguay,57.0
Tajikistan,54.0
Côte d'Ivoire,45.0
Ghana,45.0
Syrian Arab Republic (Syria),40.0
Maldives,33.0
Burkina Faso,31.0
Cuba,29.0
Belize,23.0
Guyana,22.0
Jamaica,20.0
Afghanistan,16.0
Suriname,16.0
Eritrea,14.0
Lesotho,13.0
Djibouti,12.0
Zimbabwe,12.0
Guinea,11.0
Mali,11.0
New Zealand,11.0
Thailand,10.0
Yemen,9.0
Estonia,8.0
Lithuania,8.0
Liechtenstein,8.0
Monaco,7.0
Mauritius,6.0
Chad,5.0
Togo,5.0
Swaziland,5.0
Liberia,4.0
Grenada,3.0
Viet Nam,2.0
Saint Vincent and Grenadines,1.0
Taiwan, Republic of China,1.0
Rwanda,1.0
Bhutan,1.0
Lao PDR,1.0
Barbados,1.0
Gambia,0.0
Saint Kitts and Nevis,0.0
Botswana,0.0
San Marino,0.0
Marshall Islands,0.0
Malawi,0.0
Tanzania, United Republic of,0.0
Sweden,0.0
Madagascar,0.0
Seychelles,0.0
Nicaragua,0.0
Solomon Islands,0.0
Equatorial Guinea,0.0
Western Sahara,0.0
Ecuador,0.0
Guinea-Bissau,0.0
Mauritania,0.0
Spain,0.0
Mozambique,0.0
Cameroon,0.0
Macao, SAR China,0.0
Cambodia,0.0
South Sudan,0.0
Greece,0.0
Mongolia,0.0
Cyprus,0.0
Finland,0.0
Sudan,0.0
Benin,0.0
Fiji,0.0
Singapore,0.0
Tunisia,0.0
Norway,0.0
Uganda,0.0
Dominica,0.0
Niger,0.0
Guatemala,0.0
Somalia,0.0
Burundi,0.0
Serbia,0.0
Uzbekistan,0.0
Congo (Kinshasa),0.0
Sao Tome and Principe,0.0
Congo (Brazzaville),0.0
Zambia,0.0
Comoros,0.0
Canada,0.0
Brunei Darussalam,0.0
Holy See (Vatican City State),0.0
Timor-Leste,0.0
Central African Republic,0.0
Denmark,0.0
Sierra Leone,0.0
Latvia,0.0
Haiti,0.0
El Salvador,0.0
Saint Lucia,0.0
Papua New Guinea,0.0
Antigua and Barbuda,0.0
Ireland,0.0
Netherlands,-55.0
United Kingdom,-60.0
France,-421.0
Australia,-425.0
